scenario,sample_size,s_factor,value_f
chen2,50,61.0,2.72237794687
chen2,50,61.0,3.08623906153
chen2,50,61.0,3.29583432669
chen2,50,61.0,1.87404127166
chen2,50,61.0,3.16159316634
chen2,50,61.0,-4.85406420084
chen2,50,61.0,2.85268940251
chen2,50,61.0,2.66779898507
chen2,50,61.0,2.77064586693
chen2,50,61.0,2.5999919562
chen2,50,62.0,2.29222011172
chen2,50,62.0,1.8261181902
chen2,50,62.0,3.36303909686
chen2,50,62.0,3.63285103209
chen2,50,62.0,1.96371772238
chen2,50,62.0,-2.46574343962
chen2,50,62.0,3.20686314073
chen2,50,62.0,-0.443298089995
chen2,50,62.0,2.31501368437
chen2,50,62.0,2.14793893852
chen2,50,62.0,2.63911856748
chen2,50,62.0,2.774375266
chen2,50,62.0,3.11006995916
chen2,50,62.0,3.19554736923
chen2,50,62.0,-3.33775247642
chen2,50,62.0,2.03636482998
chen2,50,62.0,2.70631260932
chen2,50,62.0,0.635127970931
chen2,50,62.0,0.730614029172
chen2,50,62.0,1.27805283532
chen2,50,62.0,4.00596293927
chen2,50,62.0,-4.66463204708
chen2,50,62.0,2.28830104137
chen2,50,62.0,0.108856397735
chen2,50,62.0,-4.94996196501
chen2,50,62.0,2.86586353905
chen2,50,62.0,0.864378362982
chen2,50,62.0,2.15240465987
chen2,50,62.0,3.26044819187
chen2,50,62.0,4.01691058585
chen2,50,62.0,2.1684684208
chen2,50,62.0,2.94301630523
chen2,50,62.0,4.34097473103
chen2,50,62.0,3.48974077796
chen2,50,62.0,3.76180757813
chen2,50,62.0,2.9936499152
chen2,50,62.0,3.72310560596
chen2,50,62.0,3.17821221553
chen2,50,62.0,1.8376817919
chen2,50,62.0,3.48109577765
chen2,50,62.0,2.72237794687
chen2,50,62.0,3.08496230599
chen2,50,62.0,3.30087518807
chen2,50,62.0,1.88683966751
chen2,50,62.0,3.15850282985
chen2,50,62.0,-4.82296206821
chen2,50,62.0,2.86388344099
chen2,50,62.0,2.66842846134
chen2,50,62.0,2.77236394759
chen2,50,62.0,2.60744544362
chen2,50,63.0,2.29285594172
chen2,50,63.0,1.84590791215
chen2,50,63.0,3.36116910164
chen2,50,63.0,3.63285103209
chen2,50,63.0,1.97290042834
chen2,50,63.0,-2.40787276235
chen2,50,63.0,3.21106004984
chen2,50,63.0,-0.431098491637
chen2,50,63.0,2.31587941769
chen2,50,63.0,2.14731773056
chen2,50,63.0,2.63911856748
chen2,50,63.0,2.76264008812
chen2,50,63.0,3.09477526863
chen2,50,63.0,3.19554736923
chen2,50,63.0,-3.29575675891
chen2,50,63.0,2.03636482998
chen2,50,63.0,2.70631260932
chen2,50,63.0,0.654830446186
chen2,50,63.0,0.731837150202
chen2,50,63.0,1.30834334988
chen2,50,63.0,4.00627348448
chen2,50,63.0,-4.66463204708
chen2,50,63.0,2.30892192565
chen2,50,63.0,0.110746885464
chen2,50,63.0,-4.94996196501
chen2,50,63.0,2.87605527995
chen2,50,63.0,0.892217568746
chen2,50,63.0,2.15178346798
chen2,50,63.0,3.25981654837
chen2,50,63.0,4.01943229126
chen2,50,63.0,2.17667549079
chen2,50,63.0,2.9423920807
chen2,50,63.0,4.34363493125
chen2,50,63.0,3.49099194106
chen2,50,63.0,3.76494209731
chen2,50,63.0,2.9942889894
chen2,50,63.0,3.72797775128
chen2,50,63.0,3.18316506564
chen2,50,63.0,1.84389314647
chen2,50,63.0,3.48598343444
chen2,50,63.0,2.72048607501
chen2,50,63.0,3.08254675968
chen2,50,63.0,3.30614669831
chen2,50,63.0,1.89993256635
chen2,50,63.0,3.16041703265
chen2,50,63.0,-4.79078487843
chen2,50,63.0,2.87724641462
chen2,50,63.0,2.66842846134
chen2,50,63.0,2.77701574925
chen2,50,63.0,2.61294136684
chen2,50,64.0,2.29222011172
chen2,50,64.0,1.86758267533
chen2,50,64.0,3.36179243338
chen2,50,64.0,3.63285103209
chen2,50,64.0,1.97384439361
chen2,50,64.0,-2.35449724486
chen2,50,64.0,3.2146574005
chen2,50,64.0,-0.434401012529
chen2,50,64.0,2.31587941769
chen2,50,64.0,2.14669652261
chen2,50,64.0,2.63596199163
chen2,50,64.0,2.75890198442
chen2,50,64.0,3.1002886508
chen2,50,64.0,3.19554736923
chen2,50,64.0,-3.25847364634
chen2,50,64.0,2.03820399373
chen2,50,64.0,2.70815802267
chen2,50,64.0,0.669274789866
chen2,50,64.0,0.729390908143
chen2,50,64.0,1.34523590988
chen2,50,64.0,4.00236293489
chen2,50,64.0,-4.66463204708
chen2,50,64.0,2.34108239274
chen2,50,64.0,0.119685537683
chen2,50,64.0,-4.94996196501
chen2,50,64.0,2.87963163339
chen2,50,64.0,0.915815859212
chen2,50,64.0,2.15302585176
chen2,50,64.0,3.26234312235
chen2,50,64.0,4.02241949908
chen2,50,64.0,2.19396209089
chen2,50,64.0,2.94114363165
chen2,50,64.0,4.34287242875
chen2,50,64.0,3.49411608759
chen2,50,64.0,3.76996849967
chen2,50,64.0,2.99609746011
chen2,50,64.0,3.72871275554
chen2,50,64.0,3.18442622981
chen2,50,64.0,1.85191106934
chen2,50,64.0,3.48783878574
chen2,50,64.0,2.71796357919
chen2,50,64.0,3.08213755195
chen2,50,64.0,3.30460927971
chen2,50,64.0,1.92267206385
chen2,50,64.0,3.16302770944
chen2,50,64.0,-4.75221471051
chen2,50,64.0,2.88812707957
chen2,50,64.0,2.66842846134
chen2,50,64.0,2.77577727691
chen2,50,64.0,2.62050500918
chen2,50,65.0,2.29412760172
chen2,50,65.0,1.87515832144
chen2,50,65.0,3.36116910164
chen2,50,65.0,3.6322365136
chen2,50,65.0,1.97860972512
chen2,50,65.0,-2.29805416889
chen2,50,65.0,3.22005342649
chen2,50,65.0,-0.411559835659
chen2,50,65.0,2.31395667513
chen2,50,65.0,2.14607531466
chen2,50,65.0,2.6365933068
chen2,50,65.0,2.75017974243
chen2,50,65.0,3.09897393091
chen2,50,65.0,3.19486231986
chen2,50,65.0,-3.21852893174
chen2,50,65.0,2.03636482998
chen2,50,65.0,2.7097696255
chen2,50,65.0,0.696524833451
chen2,50,65.0,0.727556226599
chen2,50,65.0,1.38009696902
chen2,50,65.0,3.99797152634
chen2,50,65.0,-4.66463204708
chen2,50,65.0,2.37357362761
chen2,50,65.0,0.122206187989
chen2,50,65.0,-4.94996196501
chen2,50,65.0,2.89095675264
chen2,50,65.0,0.959663036994
chen2,50,65.0,2.15364704365
chen2,50,65.0,3.26498729825
chen2,50,65.0,4.02620205721
chen2,50,65.0,2.20110870368
chen2,50,65.0,2.94114363165
chen2,50,65.0,4.34353901211
chen2,50,65.0,3.49411608759
chen2,50,65.0,3.77330678207
chen2,50,65.0,2.99709404716
chen2,50,65.0,3.73227224159
chen2,50,65.0,3.18547729537
chen2,50,65.0,1.85674433511
chen2,50,65.0,3.48967165704
chen2,50,65.0,2.71733295524
chen2,50,65.0,3.09025286636
chen2,50,65.0,3.30686700011
chen2,50,65.0,1.94126114765
chen2,50,65.0,3.1580031053
chen2,50,65.0,-4.71018159402
chen2,50,65.0,2.89623771053
chen2,50,65.0,2.66779898507
chen2,50,65.0,2.77624393142
chen2,50,65.0,2.63366838971
chen2,50,66.0,2.29539926172
chen2,50,66.0,1.88879221762
chen2,50,66.0,3.36241576512
chen2,50,66.0,3.62909637223
chen2,50,66.0,1.98821446003
chen2,50,66.0,-2.24494524347
chen2,50,66.0,3.22305121871
chen2,50,66.0,-0.389394015108
chen2,50,66.0,2.31267484676
chen2,50,66.0,2.14483289876
chen2,50,66.0,2.63533067647
chen2,50,66.0,2.73920342072
